Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
04-Jul-2019;11:25:54;default              ;1539319713;OXYPROBE             ;0.00;min;106.026;%a.s.;humid;27.901;deg;12231;uV;18.512;°C;1008.050;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35472;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.014;V;
04-Jul-2019;11:25:55;default              ;1539319713;OXYPROBE             ;0.02;min;105.959;%a.s.;humid;27.908;deg;12252;uV;18.512;°C;1008.040;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35467;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.012;V;
04-Jul-2019;11:25:56;default              ;1539319713;OXYPROBE             ;0.03;min;106.165;%a.s.;humid;27.888;deg;12262;uV;18.506;°C;1008.050;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35456;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.013;V;
04-Jul-2019;11:25:57;default              ;1539319713;OXYPROBE             ;0.05;min;105.805;%a.s.;humid;27.922;deg;12300;uV;18.518;°C;1008.090;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35457;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.011;V;
04-Jul-2019;11:25:58;default              ;1539319713;OXYPROBE             ;0.07;min;105.951;%a.s.;humid;27.908;deg;12298;uV;18.512;°C;1008.110;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35451;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.012;V;
04-Jul-2019;11:25:59;default              ;1539319713;OXYPROBE             ;0.08;min;105.996;%a.s.;humid;27.904;deg;12282;uV;18.512;°C;1008.060;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35449;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.011;V;
04-Jul-2019;11:26:00;default              ;1539319713;OXYPROBE             ;0.10;min;106.063;%a.s.;humid;27.897;deg;12276;uV;18.512;°C;1008.080;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35451;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.014;V;
04-Jul-2019;11:26:01;default              ;1539319713;OXYPROBE             ;0.12;min;106.018;%a.s.;humid;27.903;deg;12277;uV;18.506;°C;1008.040;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35445;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.012;V;
04-Jul-2019;11:26:02;default              ;1539319713;OXYPROBE             ;0.13;min;106.134;%a.s.;humid;27.890;deg;12276;uV;18.512;°C;1008.060;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35439;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.013;V;
04-Jul-2019;11:26:03;default              ;1539319713;OXYPROBE             ;0.15;min;105.993;%a.s.;humid;27.904;deg;12275;uV;18.512;°C;1008.090;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.050;deg;20.960;°C;1013;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35439;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190704;184100;1;6.013;V;
