Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
10-Dec-2019;11:59:11;default              ;1539319713;OXYPROBE             ;0.00;min;103.716;%a.s.;humid;28.113;deg;13476;uV;18.183;°C;1016.950;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35321;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.150;V;
10-Dec-2019;11:59:12;default              ;1539319713;OXYPROBE             ;0.02;min;103.890;%a.s.;humid;28.095;deg;13499;uV;18.183;°C;1016.940;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35326;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.150;V;
10-Dec-2019;11:59:13;default              ;1539319713;OXYPROBE             ;0.03;min;104.041;%a.s.;humid;28.079;deg;13496;uV;18.183;°C;1016.970;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35305;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.150;V;
10-Dec-2019;11:59:14;default              ;1539319713;OXYPROBE             ;0.05;min;103.883;%a.s.;humid;28.096;deg;13486;uV;18.183;°C;1016.910;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35305;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.151;V;
10-Dec-2019;11:59:15;default              ;1539319713;OXYPROBE             ;0.07;min;103.995;%a.s.;humid;28.083;deg;13487;uV;18.189;°C;1016.940;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35301;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.150;V;
10-Dec-2019;11:59:16;default              ;1539319713;OXYPROBE             ;0.08;min;104.017;%a.s.;humid;28.081;deg;13473;uV;18.189;°C;1016.910;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35297;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.149;V;
10-Dec-2019;11:59:17;default              ;1539319713;OXYPROBE             ;0.10;min;103.901;%a.s.;humid;28.093;deg;13510;uV;18.189;°C;1016.920;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35295;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.149;V;
10-Dec-2019;11:59:18;default              ;1539319713;OXYPROBE             ;0.12;min;104.059;%a.s.;humid;28.076;deg;13514;uV;18.189;°C;1016.970;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35300;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.150;V;
10-Dec-2019;11:59:19;default              ;1539319713;OXYPROBE             ;0.13;min;103.909;%a.s.;humid;28.093;deg;13510;uV;18.183;°C;1016.940;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35297;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.149;V;
10-Dec-2019;11:59:20;default              ;1539319713;OXYPROBE             ;0.15;min;103.848;%a.s.;humid;28.099;deg;13513;uV;18.183;°C;1016.970;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35303;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.149;V;
