Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
09-Dec-2019;09:37:18;default              ;1539319713;OXYPROBE             ;0.00;min;105.657;%a.s.;humid;28.014;deg;14092;uV;17.818;°C;1013.510;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35362;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:19;default              ;1539319713;OXYPROBE             ;0.02;min;105.397;%a.s.;humid;28.040;deg;14089;uV;17.818;°C;1013.560;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35351;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:20;default              ;1539319713;OXYPROBE             ;0.03;min;105.347;%a.s.;humid;28.046;deg;14087;uV;17.812;°C;1013.580;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35337;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:21;default              ;1539319713;OXYPROBE             ;0.05;min;105.318;%a.s.;humid;28.048;deg;14105;uV;17.818;°C;1013.570;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35335;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:22;default              ;1539319713;OXYPROBE             ;0.07;min;105.256;%a.s.;humid;28.055;deg;14100;uV;17.818;°C;1013.510;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35335;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:23;default              ;1539319713;OXYPROBE             ;0.08;min;105.403;%a.s.;humid;28.039;deg;14091;uV;17.818;°C;1013.600;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35333;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:24;default              ;1539319713;OXYPROBE             ;0.10;min;105.497;%a.s.;humid;28.030;deg;14091;uV;17.818;°C;1013.540;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35334;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:25;default              ;1539319713;OXYPROBE             ;0.12;min;105.565;%a.s.;humid;28.024;deg;14084;uV;17.812;°C;1013.550;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35331;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:26;default              ;1539319713;OXYPROBE             ;0.13;min;105.381;%a.s.;humid;28.041;deg;14082;uV;17.824;°C;1013.520;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35331;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
09-Dec-2019;09:37:27;default              ;1539319713;OXYPROBE             ;0.15;min;105.429;%a.s.;humid;28.037;deg;14083;uV;17.818;°C;1013.540;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.240;deg;19.638;°C;1018;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35336;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191209;184100;1;6.147;V;
