Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
26-Jun-2019;21:25:29;default              ;1539319713;OXYPROBE             ;0.00;min;108.068;%a.s.;humid;27.709;deg;15147;uV;18.043;°C;1009.450;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35490;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
26-Jun-2019;21:25:30;default              ;1539319713;OXYPROBE             ;0.02;min;107.923;%a.s.;humid;27.723;deg;15133;uV;18.043;°C;1009.490;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35487;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
26-Jun-2019;21:25:31;default              ;1539319713;OXYPROBE             ;0.03;min;107.794;%a.s.;humid;27.736;deg;15127;uV;18.043;°C;1009.470;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35476;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
26-Jun-2019;21:25:32;default              ;1539319713;OXYPROBE             ;0.05;min;108.013;%a.s.;humid;27.714;deg;15127;uV;18.049;°C;1009.390;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35473;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
26-Jun-2019;21:25:33;default              ;1539319713;OXYPROBE             ;0.07;min;107.897;%a.s.;humid;27.726;deg;15146;uV;18.043;°C;1009.450;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35464;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
26-Jun-2019;21:25:34;default              ;1539319713;OXYPROBE             ;0.08;min;107.949;%a.s.;humid;27.721;deg;15147;uV;18.043;°C;1009.430;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35468;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
26-Jun-2019;21:25:35;default              ;1539319713;OXYPROBE             ;0.10;min;107.906;%a.s.;humid;27.725;deg;15147;uV;18.043;°C;1009.460;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35464;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
26-Jun-2019;21:25:36;default              ;1539319713;OXYPROBE             ;0.12;min;108.041;%a.s.;humid;27.712;deg;15152;uV;18.043;°C;1009.420;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35464;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
26-Jun-2019;21:25:37;default              ;1539319713;OXYPROBE             ;0.13;min;107.840;%a.s.;humid;27.732;deg;15151;uV;18.043;°C;1009.420;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35460;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.086;V;
26-Jun-2019;21:25:38;default              ;1539319713;OXYPROBE             ;0.15;min;107.807;%a.s.;humid;27.735;deg;15149;uV;18.043;°C;1009.440;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35458;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.084;V;
26-Jun-2019;21:25:39;default              ;1539319713;OXYPROBE             ;0.17;min;108.063;%a.s.;humid;27.709;deg;15147;uV;18.043;°C;1009.500;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35455;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.087;V;
26-Jun-2019;21:25:40;default              ;1539319713;OXYPROBE             ;0.18;min;107.725;%a.s.;humid;27.742;deg;15147;uV;18.049;°C;1009.450;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.004;deg;20.856;°C;1014;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35457;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;190626;184100;1;6.085;V;
