Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
10-Dec-2019;15:47:53;default              ;1539319713;OXYPROBE             ;0.00;min;82.747;%a.s.;humid;30.817;deg;15408;uV;18.067;°C;1015.870;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35363;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.154;V;
10-Dec-2019;15:47:58;default              ;1539319713;OXYPROBE             ;0.08;min;82.417;%a.s.;humid;30.861;deg;15434;uV;18.073;°C;1015.900;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35365;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.132;V;
10-Dec-2019;15:48:03;default              ;1539319713;OXYPROBE             ;0.17;min;81.969;%a.s.;humid;30.923;deg;15471;uV;18.073;°C;1015.890;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35366;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.133;V;
10-Dec-2019;15:48:08;default              ;1539319713;OXYPROBE             ;0.25;min;81.633;%a.s.;humid;30.970;deg;15507;uV;18.073;°C;1015.870;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35359;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.131;V;
10-Dec-2019;15:48:13;default              ;1539319713;OXYPROBE             ;0.33;min;81.077;%a.s.;humid;31.049;deg;15547;uV;18.067;°C;1015.870;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35363;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.130;V;
10-Dec-2019;15:48:18;default              ;1539319713;OXYPROBE             ;0.42;min;80.700;%a.s.;humid;31.102;deg;15584;uV;18.067;°C;1015.880;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35359;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.130;V;
10-Dec-2019;15:48:23;default              ;1539319713;OXYPROBE             ;0.50;min;80.562;%a.s.;humid;31.119;deg;15607;uV;18.080;°C;1015.900;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35354;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.130;V;
10-Dec-2019;15:48:28;default              ;1539319713;OXYPROBE             ;0.58;min;80.339;%a.s.;humid;31.153;deg;15742;uV;18.067;°C;1015.890;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35350;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.129;V;
10-Dec-2019;15:48:33;default              ;1539319713;OXYPROBE             ;0.67;min;80.199;%a.s.;humid;31.172;deg;15782;uV;18.073;°C;1015.870;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35344;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.128;V;
10-Dec-2019;15:48:38;default              ;1539319713;OXYPROBE             ;0.75;min;80.200;%a.s.;humid;31.173;deg;15791;uV;18.067;°C;1015.870;mbar;33.0;pmil;0;60.390;deg;20.000;°C;100.000;%a.s.;28.308;deg;19.924;°C;1022;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;15;45.500;35351;SAAA0008000239;     p2.0.1.5 ;PSt3;181012-0;191210;184100;1;6.128;V;
